subsystem|bucket|file|line|size_expr|hint|code
bgp/plugins|C|internal/component/bgp/plugins/nlri/evpn/types.go|836|2+payloadLen|variable (2+payloadLen)|buf := make([]byte, 2+payloadLen)
bgp/plugins|C|internal/component/bgp/plugins/nlri/flowspec/types.go|278|0, len(sorted|builder cap variable (len(sorted)|data := make([]byte, 0, len(sorted)*4)
bgp/plugins|C|internal/component/bgp/plugins/nlri/flowspec/types.go|306|2+len(data|variable (2+len(data)|f.cached = make([]byte, 2+len(data))
bgp/plugins|C|internal/component/bgp/plugins/nlri/flowspec/types_prefix.go|65|3+prefixBytes|variable (3+prefixBytes)|data := make([]byte, 3+prefixBytes)
bgp/plugins|C|internal/component/bgp/plugins/nlri/flowspec/types_prefix.go|77|2+prefixBytes|variable (2+prefixBytes)|data := make([]byte, 2+prefixBytes)
bgp/plugins|C|internal/component/bgp/plugins/nlri/flowspec/types_vpn.go|94|1+payloadLen|variable (1+payloadLen)|f.cached = make([]byte, 1+payloadLen)
bgp/plugins|C|internal/component/bgp/plugins/nlri/flowspec/types_vpn.go|99|2+payloadLen|variable (2+payloadLen)|f.cached = make([]byte, 2+payloadLen)
bgp/plugins|C|internal/component/bgp/plugins/nlri/labeled/types.go|112|1+len(labelBytes|variable (1+len(labelBytes)|buf := make([]byte, 1+len(labelBytes)+prefixBytes)
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/attr.go|202|len(data|variable (len(data)|buf := make([]byte, len(data)*2)
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/attr_link.go|373|len(data|variable (len(data)|cp := make([]byte, len(data))
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/attr_link.go|691|neighborIDLen|variable (neighborIDLen)|t.NeighborID = make([]byte, neighborIDLen)
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/attr_node.go|90|len(data|variable (len(data)|cp := make([]byte, len(data))
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/attr_node.go|142|len(data|variable (len(data)|cp := make([]byte, len(data))
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/attr_prefix.go|110|len(data|variable (len(data)|cp := make([]byte, len(data))
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/attr_prefix.go|315|len(data|variable (len(data)|cp := make([]byte, len(data))
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/types.go|417|len(value|variable (len(value)|nd.IGPRouterID = make([]byte, len(value))
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/types.go|428|len(value|variable (len(value)|sid := make([]byte, len(value))
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/types.go|478|4+len(v|variable (4+len(v)|data := make([]byte, 4+len(v))
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/types_nlri.go|46|9+len(localNodeTLV|variable (9+len(localNodeTLV)|body := make([]byte, 9+len(localNodeTLV))
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/types_nlri.go|52|4+len(body|variable (4+len(body)|n.cached = make([]byte, 4+len(body))
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/types_nlri.go|149|bodyLen|variable (bodyLen)|body := make([]byte, bodyLen)
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/types_nlri.go|160|4+len(body|variable (4+len(body)|l.cached = make([]byte, 4+len(body))
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/types_nlri.go|279|bodyLen|variable (bodyLen)|body := make([]byte, bodyLen)
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/types_nlri.go|288|4+len(body|variable (4+len(body)|p.cached = make([]byte, 4+len(body))
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/types_srv6.go|110|bodyLen|variable (bodyLen)|body := make([]byte, bodyLen)
bgp/plugins|C|internal/component/bgp/plugins/nlri/ls/types_srv6.go|119|4+len(body|variable (4+len(body)|s.cached = make([]byte, 4+len(body))
bgp/plugins|C|internal/component/bgp/plugins/nlri/mup/encode.go|146|n|variable (n)|nlriBytes := make([]byte, n)
